Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
8/4/2020,$121.45 
8/5/2020,$76.49 
8/6/2020,$460.09 
8/7/2020,$0.00 
8/8/2020,$177.79 
8/9/2020,$0.00 
8/10/2020,$758.42 
8/11/2020,$209.00 
8/12/2020,$529.60 
8/13/2020,$241.41 
8/14/2020,$177.60 
8/15/2020,$300.67 
8/16/2020,$0.00 
8/17/2020,$201.73 
8/18/2020,$13.91 
8/19/2020,$255.95 
8/20/2020,$0.00 
8/21/2020,$164.78 
8/22/2020,$0.00 
8/23/2020,$0.00 
8/24/2020,$483.64 
8/25/2020,"$1,606.07 "
8/26/2020,$94.16 
8/27/2020,$0.00 
8/28/2020,$132.68 
8/29/2020,$366.23 
8/30/2020,$0.00 
8/31/2020,$604.30 
9/1/2020,$38.51 
9/2/2020,$0.00 
9/3/2020,$226.69 
9/4/2020,"$1,034.35 "
9/5/2020,$594.30 
9/6/2020,$0.00 
9/7/2020,$0.00 
9/8/2020,$332.12 
9/9/2020,$74.90 
9/10/2020,$173.31 
9/11/2020,$129.46 
9/12/2020,$48.15 
9/13/2020,$0.00 
9/14/2020,$247.16 
9/15/2020,$101.65 
9/16/2020,$0.00 
9/17/2020,$765.03 
9/18/2020,$46.00 
9/19/2020,$0.00 
9/20/2020,$0.00 
9/21/2020,$38.51 
9/22/2020,$839.94 
9/23/2020,$707.19 
9/24/2020,$0.00 
9/25/2020,$838.02 
9/26/2020,$96.30 
9/27/2020,$0.00 
9/28/2020,$0.00 
9/29/2020,"$1,417.94 "
9/30/2020,$147.64 
10/1/2020,$181.89 
10/2/2020,$0.00 
10/3/2020,$360.03 
10/4/2020,$0.00 
10/5/2020,$35.57 
10/6/2020,$0.00 
10/7/2020,$116.41 
10/8/2020,$67.90 
10/9/2020,$355.73 
10/10/2020,$67.91 
10/11/2020,$0.00 
10/12/2020,$421.93 
10/13/2020,$270.36 
10/14/2020,"$1,229.14 "
10/15/2020,$350.31 
10/16/2020,$72.23 
10/17/2020,$206.46 
10/18/2020,$0.00 
10/19/2020,$289.85 
10/20/2020,$224.27 
10/21/2020,$124.19 
10/22/2020,$0.00 
10/23/2020,$175.71 
10/24/2020,$792.31 
10/25/2020,$0.00 
10/26/2020,$265.62 
10/27/2020,$132.59 
10/28/2020,$300.46 
10/29/2020,$44.19 
10/30/2020,$121.80 
10/31/2020,$205.85 
11/1/2020,$0.00 
11/2/2020,$470.20 
11/3/2020,$442.60 
11/4/2020,$173.18 
11/5/2020,$6.63 
11/6/2020,$168.16 
11/7/2020,$60.36 
11/8/2020,$0.00 
11/9/2020,$694.23 
11/10/2020,$475.93 
11/11/2020,$74.37 
11/12/2020,$231.75 
11/13/2020,$446.28 
11/14/2020,$78.65 
11/15/2020,$0.00 
11/16/2020,$192.83 
11/17/2020,$0.00 
11/18/2020,$19.40 
11/19/2020,$165.38 
11/20/2020,$138.19 
11/21/2020,$94.86 
11/22/2020,$0.00 
11/23/2020,$0.00 
11/24/2020,$57.13 
11/25/2020,$180.00 
11/26/2020,$0.00 
11/27/2020,$0.00 
11/28/2020,$46.34 
11/29/2020,$0.00 
11/30/2020,$45.26 
12/1/2020,$476.48 
12/2/2020,$467.83 
12/3/2020,$176.79 
12/4/2020,$128.28 
12/5/2020,$20.00 
12/6/2020,$0.00 
12/7/2020,$0.00 
12/8/2020,"$1,131.89 "
12/9/2020,$0.00 
12/10/2020,$354.65 
12/11/2020,$382.69 
12/12/2020,$59.29 
12/13/2020,$0.00 
12/14/2020,$730.55 
12/15/2020,$94.86 
12/16/2020,$40.19 
12/17/2020,$184.32 
12/18/2020,$0.00 
12/19/2020,$0.00 
12/20/2020,$0.00 
12/21/2020,$315.35 
12/22/2020,$706.38 
12/23/2020,$124.07 
12/24/2020,$636.84 
12/25/2020,$0.00 
12/26/2020,$54.97 
12/27/2020,$0.00 
12/28/2020,$57.12 
12/29/2020,$565.91 
12/30/2020,$33.41 
12/31/2020,$21.42 
1/1/2021,$0.00 
