Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
7/31/2019,$0.00 
8/1/2019,$0.00 
8/2/2019,$0.00 
8/3/2019,$0.00 
8/4/2019,$0.00 
8/5/2019,$0.00 
8/6/2019,$0.00 
8/7/2019,$0.00 
8/8/2019,$0.00 
8/9/2019,$0.00 
8/10/2019,$0.00 
8/11/2019,$0.00 
8/12/2019,$0.00 
8/13/2019,$0.00 
8/14/2019,$0.00 
8/15/2019,$0.00 
8/16/2019,$0.00 
8/17/2019,$0.00 
8/18/2019,$0.00 
8/19/2019,$0.00 
8/20/2019,$0.00 
8/21/2019,$80.00 
8/22/2019,$986.19 
8/23/2019,$431.66 
8/24/2019,$367.28 
8/25/2019,$0.00 
8/26/2019,$387.49 
8/27/2019,$0.00 
8/28/2019,$866.78 
8/29/2019,$87.92 
8/30/2019,$176.46 
8/31/2019,$701.16 
9/1/2019,$0.00 
9/2/2019,$89.63 
9/3/2019,$204.94 
9/4/2019,$193.50 
9/5/2019,$192.87 
9/6/2019,$171.08 
9/7/2019,$563.63 
9/8/2019,$0.00 
9/9/2019,$44.73 
9/10/2019,$239.36 
9/11/2019,$254.40 
9/12/2019,$85.39 
9/13/2019,$76.69 
9/14/2019,$156.90 
9/15/2019,$0.00 
9/16/2019,$373.63 
9/17/2019,$38.42 
9/18/2019,$0.00 
9/19/2019,$484.87 
9/20/2019,$294.65 
9/21/2019,$0.00 
9/22/2019,$0.00 
9/23/2019,$198.53 
9/24/2019,$335.15 
9/25/2019,$421.67 
9/26/2019,$70.44 
9/27/2019,$80.06 
9/28/2019,$96.08 
9/29/2019,$0.00 
9/30/2019,$69.39 
10/1/2019,$428.05 
10/2/2019,$245.91 
10/3/2019,$352.65 
10/4/2019,$0.00 
10/5/2019,$0.00 
10/6/2019,$0.00 
10/7/2019,$495.55 
10/8/2019,$0.00 
10/9/2019,$385.36 
10/10/2019,$148.38 
10/11/2019,$107.00 
10/12/2019,$268.42 
10/13/2019,$0.00 
10/14/2019,$222.20 
10/15/2019,$0.00 
10/16/2019,$85.40 
10/17/2019,$11.74 
10/18/2019,$142.17 
10/19/2019,$38.42 
10/20/2019,$0.00 
10/21/2019,$69.39 
10/22/2019,$120.60 
10/23/2019,$74.71 
10/24/2019,$150.50 
10/25/2019,$34.42 
10/26/2019,$95.80 
10/27/2019,$0.00 
10/28/2019,$539.07 
10/29/2019,$496.39 
10/30/2019,$0.00 
10/31/2019,$0.00 
11/1/2019,$0.00 
11/2/2019,$0.00 
11/3/2019,$0.00 
11/4/2019,$0.00 
11/5/2019,$0.00 
11/6/2019,$0.00 
11/7/2019,$0.00 
11/8/2019,$0.00 
11/9/2019,$0.00 
11/10/2019,$0.00 
11/11/2019,$0.00 
11/12/2019,$0.00 
11/13/2019,$0.00 
11/14/2019,$0.00 
11/15/2019,$0.00 
11/16/2019,$0.00 
11/17/2019,$0.00 
11/18/2019,$0.00 
11/19/2019,$0.00 
11/20/2019,$0.00 
11/21/2019,$0.00 
11/22/2019,$0.00 
11/23/2019,$0.00 
11/24/2019,$0.00 
11/25/2019,$0.00 
11/26/2019,$0.00 
11/27/2019,$0.00 
11/28/2019,$0.00 
11/29/2019,$0.00 
11/30/2019,$0.00 
12/1/2019,$0.00 
12/2/2019,$0.00 
12/3/2019,$0.00 
12/4/2019,$0.00 
12/5/2019,$0.00 
12/6/2019,$0.00 
12/7/2019,$0.00 
12/8/2019,$0.00 
12/9/2019,$0.00 
12/10/2019,$0.00 
12/11/2019,$0.00 
12/12/2019,$0.00 
12/13/2019,$0.00 
12/14/2019,$0.00 
12/15/2019,$0.00 
12/16/2019,$0.00 
12/17/2019,$0.00 
12/18/2019,$0.00 
12/19/2019,$0.00 
12/20/2019,$0.00 
12/21/2019,$0.00 
12/22/2019,$0.00 
12/23/2019,$0.00 
12/24/2019,$0.00 
12/25/2019,$0.00 
12/26/2019,$0.00 
12/27/2019,$0.00 
12/28/2019,$0.00 
12/29/2019,$0.00 
12/30/2019,$0.00 
12/31/2019,$0.00 
1/1/2020,$0.00 
