Sales Summary: Gross Sales Displayed by Device,iPad cellutionz
7/13/2023,$963.71 
7/14/2023,$502.35 
7/15/2023,$641.40 
7/16/2023,$0.00 
7/17/2023,$0.00 
7/18/2023,$279.19 
7/19/2023,$29.11 
7/20/2023,$484.03 
7/21/2023,$584.85 
7/22/2023,$0.00 
7/23/2023,$0.00 
7/24/2023,$398.84 
7/25/2023,$94.86 
7/26/2023,$62.52 
7/27/2023,$94.86 
7/28/2023,$390.24 
7/29/2023,$0.00 
7/30/2023,$0.00 
7/31/2023,$106.71 
8/1/2023,$132.58 
8/2/2023,$105.64 
8/3/2023,$0.00 
8/4/2023,$28.03 
8/5/2023,$0.00 
8/6/2023,$0.00 
8/7/2023,$902.25 
8/8/2023,$229.60 
8/9/2023,$132.59 
8/10/2023,$385.90 
8/11/2023,$0.00 
8/12/2023,$402.08 
8/13/2023,$0.00 
8/14/2023,$278.11 
8/15/2023,$985.79 
8/16/2023,$94.86 
8/17/2023,$148.75 
8/18/2023,$78.68 
8/19/2023,$26.95 
8/20/2023,$0.00 
8/21/2023,$818.19 
8/22/2023,$336.48 
8/23/2023,$551.93 
8/24/2023,$143.37 
8/25/2023,$78.68 
8/26/2023,$62.52 
8/27/2023,$0.00 
8/28/2023,$690.98 
8/29/2023,$0.00 
8/30/2023,$318.00 
8/31/2023,$309.38 
9/1/2023,$385.38 
9/2/2023,$0.00 
9/3/2023,$0.00 
9/4/2023,$0.00 
9/5/2023,$204.82 
9/6/2023,$732.68 
9/7/2023,$188.64 
9/8/2023,$388.08 
9/9/2023,$94.86 
9/10/2023,$0.00 
9/11/2023,$351.42 
9/12/2023,$346.21 
9/13/2023,$112.11 
9/14/2023,$0.00 
9/15/2023,$582.10 
9/16/2023,$145.52 
9/17/2023,$0.00 
9/18/2023,$0.00 
9/19/2023,$0.00 
9/20/2023,$203.73 
9/21/2023,$256.56 
9/22/2023,$330.95 
9/23/2023,$462.04 
9/24/2023,$0.00 
9/25/2023,$591.82 
9/26/2023,"$1,086.63 "
9/27/2023,$660.78 
9/28/2023,$273.81 
9/29/2023,$263.03 
9/30/2023,$84.08 
10/1/2023,$0.00 
10/2/2023,$200.50 
10/3/2023,$175.70 
10/4/2023,$30.18 
10/5/2023,$0.00 
10/6/2023,$200.51 
10/7/2023,$384.85 
10/8/2023,$0.00 
10/9/2023,$44.20 
10/10/2023,$0.00 
10/11/2023,$391.31 
10/12/2023,$75.47 
10/13/2023,$343.87 
10/14/2023,$918.46 
10/15/2023,$0.00 
10/16/2023,$0.00 
10/17/2023,$268.41 
10/18/2023,$705.95 
10/19/2023,$0.00 
10/20/2023,$0.00 
10/21/2023,$278.11 
10/22/2023,$0.00 
10/23/2023,$627.68 
10/24/2023,$0.00 
10/25/2023,$242.07 
10/26/2023,$752.41 
10/27/2023,$0.00 
10/28/2023,"$1,035.97 "
10/29/2023,$0.00 
10/30/2023,$0.00 
10/31/2023,$218.81 
11/1/2023,$0.00 
